Date,sentence,fear,anger,anticip,trust,surprise,sadness,disgust,anticipation,joy,positive,negative,Service Sales
11/6/2015,team work safety service excellence,0,0,0,0.4,0,0,0.2,,0.2,0.2,0,
19/12/16,good services replaced my grandis engine mounting timing belt car run smoothly without any noise thank you vincent boss nan his mechanic,0.111111111,0.111111111,0,0.111111111,0.111111111,0,0,0.111111111,0.111111111,0.111111111,0.222222222,131052.86
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
23/03/17,help settle my accident professionally power,0.25,0,0,0,0.25,0.25,0,,0,0,0.25,169803.64
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
23/03/17,very knowable manager,0,0,0,0,0,0,0,,0,0,0,169803.64
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
23/03/17,settled my accident recovery efficiently hassle free thumbs up kudos team all my companys vehicle has been with them coming 3 years service has always been top notch,0.083333333,0,0,0.166666667,0.083333333,0.083333333,0,0.166666667,0.083333333,0.25,0.083333333,169803.64
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
24/03/17,ive been few car workshops singapore before i come know projex v2d ive never look other workshop ever since knowledgeable boss n mechanics very quick downtime reasonable priced,0,0,0,0,0,0,0,,0,0,0,169803.64
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
6/7/2017,2 thumbs up good service boss vincent very friendly knowledgeable highly recommended well done,0,0,0,0.222222222,0.111111111,0,0,0.222222222,0.222222222,0.222222222,0,137013.17
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
15/11/17,great place with great people,0,0,0,0,0,0,0,,0,0,0,140187.18
15/11/17,thank u bro,0,0,0,0,0,0,0,,0,0,0,
9/12/2017,very professional dedicated technician,0,0,0,0.5,0,0,0,,0,0.5,0,151797.23
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
16/12/17,,0,0,0,0,0,0,0,,0,0,0,
16/12/17,thanks bro,0,0,0,0,0,0,0,,0,0,0,
9/3/2018,,0,0,0,0,0,0,0,,0,0,0,
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
16/04/18,,0,0,0,0,0,0,0,,0,0,0,
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
21/05/18,good service but overpriced parts labour changed part shop was charged double what another well known workshop quoted me check pricing with few workshops if you really intend use their service unless you have deep pocket,0,0.1,0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,68503.12
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
24/07/18,,0,0,0,0,0,0,0,,0,0,0,
22/08/18,great service with professional crew,0,0,0,0.666666667,0,0,0,,0,0.333333333,0,77561.93
22/08/18,thank you so much your valuable review bro,0,0,0,0,0,0,0,,0,1,0,77561.93
9/9/2018,great service vincent band his crew,0,0,0,1,0,0,0,,0,0,0,87770.13
9/9/2018,thank you your continuing support bro,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,great service very helpful knowledgeable team,0,0,0,0.5,0,0,0,,0.25,0.25,0,87770.13
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,very accomodating boss pro jec v2d knowledgable his field work very trustworthy gentleman,0,0,0,0.5,0,0,0,,0,0.5,0,87770.13
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,great workshop well knowledgeable staffs there,0,0,0,0,0,0,0,,0,0,0,
17/02/19,brooo,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,bosses n staffs are very willing extend their help existing customers best they can with regards car n insurance matters with tact honesty very thoughtful bosses staffs who not only sincere helping their customers but shows empathy as well thanks alot vincent edmund all his team hardworking mechanics there,0,0,0,0.4,0,0,0,,0,0.6,0,87770.13
17/02/19,,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,best workshop,0,0,0,0,0,0,0,,0,0,0,
17/02/19,,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,great place do your car whether regular service or maintenance i love straightforward approach team here at v2d provide detailed informative clear these guys are upfront cater customers needs wants no bs,0,0,0,0.444444444,0,0,0,,0.111111111,0.444444444,0,87770.13
17/02/19,appreciate your review,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,excellent service i have ever had thank you vincent,0,0,0,0.333333333,0,0,0,,0.333333333,0.333333333,0,87770.13
17/02/19,bro,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,,0,0,0,0,0,0,0,,0,0,0,
17/02/19,thanks bro,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,friendly knowledgeable mechanics honest open about work done good workmanship,0.0625,0.0625,0,0.1875,0.0625,0.0625,0.0625,0.125,0.1875,0.1875,0,87770.13
17/02/19,thanks bro,0,0,0,0,0,0,0,,0,0,0,
10/9/2018,very friendly boss with superior technical knowledge cars his crew are also very experienced very meticulous handling my car needs,0,0,0,0.333333333,0,0,0,0.111111111,0.111111111,0.444444444,0,87770.13
10/9/2018,thank u your valuable review bro,0,0,0,0,0,0,0,,0,1,0,87770.13
10/9/2018,nice friendly staffs my car problem was solve by them,0.142857143,0,0,0.142857143,0,0.142857143,0,0.142857143,0.142857143,0.142857143,0.142857143,87770.13
10/9/2018,thank u bro your valuable review,0,0,0,0,0,0,0,,0,1,0,87770.13
26/09/18,great service great handwork,0,0,0,0,0,0,0,,0,0,0,87770.13
26/09/18,translated by google thanks bro original thanks brooo,0,0,0,0,0,0,0,,0,0,0,87770.13
22/10/18,fast quality service will come again future needs,0,0,0,0,0,0,0,,0,0,0,96235.1
22/10/18,thanks your valuable review bro,0,0,0,0,0,0,0,,0,1,0,96235.1
